store_key,country,state,square_meters,open_date
1,australia,australian capital territory,595.0,2008-01-01
2,australia,northern territory,665.0,2008-01-12
3,australia,south australia,2000.0,2012-01-07
4,australia,tasmania,2000.0,2010-01-01
5,australia,victoria,2000.0,2015-12-09
6,australia,western australia,2000.0,2010-01-01
7,canada,new brunswick,1105.0,2007-05-07
8,canada,newfoundland and labrador,2105.0,2014-07-02
9,canada,northwest territories,1500.0,2005-03-04
10,canada,nunavut,1210.0,2015-04-04
11,canada,yukon,1210.0,2009-06-03
12,france,basse-normandie,350.0,2012-06-06
13,france,corse,245.0,2013-06-07
14,france,franche-comté,350.0,2009-12-15
15,france,la réunion,400.0,2015-01-01
16,france,limousin,385.0,2010-06-03
17,france,martinique,350.0,2007-07-08
18,france,mayotte,310.0,2012-08-08
19,germany,berlin,1295.0,2015-04-04
20,germany,brandenburg,1715.0,2012-12-15
21,germany,freie hansestadt bremen,560.0,2018-06-03
22,germany,freistaat thüringen,2000.0,2008-03-06
23,germany,hamburg,1365.0,2010-01-01
24,germany,hessen,1855.0,2012-12-15
25,germany,mecklenburg-vorpommern,1610.0,2010-01-01
26,germany,saarland,350.0,2019-03-05
27,germany,sachsen-anhalt,2000.0,2008-08-08
28,italy,caltanissetta,1200.0,2012-12-15
29,italy,enna,1000.0,2008-01-01
30,italy,pesaro,2100.0,2008-01-12
31,netherlands,drenthe,1085.0,2012-01-07
32,netherlands,flevoland,910.0,2010-01-01
33,netherlands,friesland,1540.0,2015-12-09
34,netherlands,groningen,1365.0,2010-01-01
35,netherlands,zeeland,1225.0,2007-05-07
36,united kingdom,armagh,1300.0,2014-07-02
37,united kingdom,ayrshire,2100.0,2005-03-04
38,united kingdom,belfast,1800.0,2015-04-04
39,united kingdom,blaenau gwent,2100.0,2009-06-03
40,united kingdom,dungannon and south tyrone,1300.0,2012-06-06
41,united kingdom,fermanagh,2100.0,2013-06-07
42,united kingdom,north down,1900.0,2009-12-15
43,united states,alaska,1190.0,2015-01-01
44,united states,arkansas,2000.0,2010-06-03
45,united states,connecticut,2000.0,2007-07-08
46,united states,delaware,1015.0,2012-08-08
47,united states,hawaii,1120.0,2015-04-04
48,united states,idaho,1540.0,2012-12-15
49,united states,iowa,2000.0,2018-06-03
50,united states,kansas,2000.0,2008-03-06
51,united states,maine,1295.0,2010-01-01
52,united states,mississippi,2000.0,2009-06-03
53,united states,montana,1260.0,2012-06-06
54,united states,nebraska,2000.0,2013-06-07
55,united states,nevada,2000.0,2009-12-15
56,united states,new hampshire,1260.0,2015-01-01
57,united states,new mexico,1645.0,2010-06-03
58,united states,north dakota,1330.0,2007-07-08
59,united states,oregon,2000.0,2012-08-08
60,united states,rhode island,1260.0,2005-04-04
61,united states,south carolina,2000.0,2012-12-15
62,united states,south dakota,1120.0,2018-06-03
63,united states,utah,2000.0,2008-03-06
64,united states,washington dc,1330.0,2010-01-01
65,united states,west virginia,1785.0,2012-01-01
66,united states,wyoming,840.0,2014-01-01
0,online,online,,2010-01-01
